na,candidate_name,party,votes,rank
NA-249,Ahmad Saleem Siddique,MQM-P,77529,1
NA-249,Uzair Ali Khan,Independent,51152,2
NA-249,Mian Muslim Parvaiz,JIP,27205,3
NA-249,Muhammad Zahid Qureshi,Independent,15764,4
NA-249,Hafiz Muhammad Hamid Mahmood Kagani,TLP,9494,5
NA-249,Abdul Waheed,PPP,7502,6
NA-249,Syed Ansub Raza Fatmi,PML-N,1804,7
NA-249,Abid Hussain Qureshi,Independent,1416,8
NA-249,Muhammad Imran Khan,Independent,909,9
NA-249,Atta ul Mustafa Jamil Rathore,Independent,764,10
NA-249,Muhammad Jameel Ahmad Khan,PML-Q,704,11
NA-249,Muhammad Faisal,GDA,681,12
NA-249,Ahmed Niazi,Independent,641,13
NA-249,Syed Ali Salman,Independent,596,14
NA-249,Adeel Arif,Independent,547,15
NA-249,Abdul Azeem Khan,PMML,520,16
NA-249,Rao Asif Ali,Independent,519,17
NA-249,Niamat Khalil,ANP,490,18
NA-249,Abdus Samad Sardar,Independent,451,19
NA-249,Saeed Ahmed,Independent,381,20
NA-249,Sidra Imran,Independent,348,21
NA-249,Syed Mushahid Hussain,Independent,307,22
NA-249,Shumaila Abdul Hakeem Khan,Independent,248,23
NA-249,Qasim Jahangir,Independent,173,24
NA-249,Nosherwan Adil,Independent,171,25
NA-249,Ghulam Mohiuddin Ghouri,Independent,72,26
NA-249,Yasir Ali,PMA,45,27
